# Preservation proof — Parte 56 — 2026-07-31T20:52:07Z

branch,tip_hash,merge_base_with_origin_dev,disposition,evidence
security/fix-codeql-critical-alerts,a7902f667f127ad1eaa0cbf319d047d681c3c591,56d2b9515f57cf0b2d84ed8c6554c67c6e146d27,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-48mt2ag0,3c849bee94dafd1726d14bff7f39e92008d68e30,1dc9873885caf5b8203922381a30474b417d4f65,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-4vpask7l,c37ddb60367b04d97a3714edfdaaf60e070e12cb,828999b8d8eb612b52f33809fe665d00460c19d6,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-565dy2jg,6944fbd0f738de89a666ca9b38fa72b7a26bd093,4c3b16e964b2b8cf5a037f065c3aa48919058637,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-a0mijmfo,5a4d7af91539df566eab110d8f32d361ebf59dba,fee7a377e841b1cfb3cb2123ad1c3d1539c83b4d,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-aiyr3su8,a2394577c157fa98cff3a2c3a8578115b816badb,845fa25a70411399ba3cc0a5830ba67fb24a78c1,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-fkmza3eb,631f9aeb087ca739abd9f73155e5eab813faaffe,f6c9ce4f8dc64bc4997b2a834183f3aaf14058e7,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-q8g4xsgz,db3b8b9f1c58bae3c97f4a718adccfe2ce3e761b,5bba6e2438b0302986b5012c53f1e7d848eebe27,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-u6s4k3bu,49494ce9745625055a88afefa823dc5be05193a6,5a148e8365ee5fb804bbbe7f624cbcb383b65d4f,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
subrepl-zr4rm8cu,777d4a8d1df3d14bca527236da637a88c6763844,af2f265709ad010057ec24b9fd662836de4ce728,DESCARTAR,patch-id-equivalent (git cherry -v origin/dev = all '-'), files confirmed present/evolved in origin/dev
replit-agent,65dd46478286876595588d552344be0921a87784,d69759ebd197ea4228fe4407d38ca55fc94e0bf6,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-3betyet5,0b64c63f1014f4e976380b0dc89dc38ff84c2899,12f3f77b0d5b04b3688f01b861a7fa24f6774fb6,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-45z13hnk,36475470536d783d4b5bd661cc546ba21e26f2c6,e08cf2f41daf958ec88b9c2192bc9d648ecc7096,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-asapacyj,6ab6131b215a4c4e3e03166f48fc320712f8057d,fee7a377e841b1cfb3cb2123ad1c3d1539c83b4d,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-bym04bmb,779dbabf7b3b5baaff511718e6ed8e6fec67d803,a62bc299e68827024c7616f7f03e0b79089a130c,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-ck008ff5,4f13506d700b196ce0f93eb7176fd7676fe44234,b1a3623547c5ffa1c34e5a83ddc9dae71e45383e,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-e5jplqf9,d821642d9b50d40750ffe683482ebf368d9d6b7f,7e197babe0f84e24b88162099fdb0098504d2bdd,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-hu4gmyxy,465c182285c2997f3f710a9495485b1572be1ff1,e08cf2f41daf958ec88b9c2192bc9d648ecc7096,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-i3hcqiwh,4d475ccf07bbeee53631e39f8afbc33707806a11,c30c74f2754a54f63bd23ab1554825eab7419722,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-mgpejyg1,b5c64dfe803807a1e0384e9a5309f352cf7ad954,fee7a377e841b1cfb3cb2123ad1c3d1539c83b4d,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
subrepl-r83ta6w1,971793d73abd81a7906582c43ceb0bac02411938,1dc9873885caf5b8203922381a30474b417d4f65,DESCARTAR,superseded — equivalent/superior feature confirmed present in origin/dev by direct file/grep inspection
